epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5029.49,0.79611,0.64964,1.38744,0.8076,0.84691,0.88226,0.53393,1.43245,0.80566,1.34622,0.00121591,0.00121591,0.00121591
43,5128.42,0.80878,0.65936,1.39572,0.78787,0.81662,0.86518,0.53997,1.39091,0.76041,1.28865,0.00120491,0.00120491,0.00120491
44,5227.02,0.79984,0.63897,1.38686,0.81006,0.81997,0.88332,0.55056,1.39624,0.77677,1.32711,0.00119391,0.00119391,0.00119391
45,5327.43,0.80403,0.65587,1.3858,0.77646,0.80127,0.86447,0.53671,1.39165,0.78934,1.32091,0.0011829,0.0011829,0.0011829
46,5425.41,0.8058,0.64438,1.38325,0.79172,0.87065,0.8875,0.56657,1.38095,0.72593,1.27637,0.0011719,0.0011719,0.0011719
47,5520.68,0.79319,0.63339,1.37149,0.83203,0.8615,0.90867,0.57532,1.3915,0.72649,1.36467,0.0011609,0.0011609,0.0011609
48,5620.22,0.77808,0.61906,1.35917,0.85064,0.78917,0.89027,0.55503,1.39212,0.77962,1.30153,0.0011499,0.0011499,0.0011499
49,5721.69,0.78576,0.62199,1.36066,0.75784,0.84088,0.85294,0.53168,1.39588,0.78141,1.38727,0.00113889,0.00113889,0.00113889
50,5820.49,0.77075,0.61186,1.35559,0.76903,0.8419,0.86075,0.54869,1.40864,0.77971,1.38698,0.00112789,0.00112789,0.00112789
51,5921.57,0.77743,0.61386,1.35971,0.83296,0.82143,0.87977,0.5516,1.41118,0.72886,1.34391,0.00111689,0.00111689,0.00111689
52,6023.8,0.77335,0.60668,1.35351,0.77502,0.84971,0.8639,0.56068,1.325,0.72822,1.2574,0.00110589,0.00110589,0.00110589
53,6124.58,0.7661,0.61126,1.35163,0.77262,0.84242,0.87355,0.55225,1.38725,0.77702,1.31332,0.00109489,0.00109489,0.00109489
54,6222.88,0.76285,0.58445,1.34366,0.83503,0.85892,0.89395,0.57066,1.34182,0.7237,1.29008,0.00108388,0.00108388,0.00108388
55,6317,0.74865,0.57844,1.33439,0.72263,0.78308,0.82453,0.52206,1.39863,0.86211,1.32769,0.00107288,0.00107288,0.00107288
56,6413.67,0.74387,0.58516,1.32823,0.80777,0.80673,0.87674,0.55261,1.36088,0.78024,1.32658,0.00106188,0.00106188,0.00106188
57,6511.04,0.75175,0.58457,1.32396,0.86227,0.85923,0.90655,0.58166,1.35681,0.69215,1.33923,0.00105088,0.00105088,0.00105088
58,6608.81,0.73887,0.57024,1.32486,0.86402,0.86226,0.917,0.59098,1.36534,0.6871,1.32617,0.00103987,0.00103987,0.00103987
59,6707.11,0.74621,0.57097,1.33196,0.80933,0.82042,0.89079,0.58589,1.29933,0.72162,1.23545,0.00102887,0.00102887,0.00102887
60,6804.58,0.74405,0.57607,1.30924,0.82088,0.81767,0.87826,0.55985,1.3698,0.76102,1.27511,0.00101787,0.00101787,0.00101787
61,6901.24,0.73789,0.56796,1.30807,0.76879,0.87229,0.88824,0.577,1.35022,0.68278,1.26625,0.00100687,0.00100687,0.00100687
62,7000.59,0.73052,0.56624,1.31616,0.83665,0.81513,0.89213,0.58286,1.3477,0.70108,1.26411,0.000995866,0.000995866,0.000995866
63,7099.31,0.72447,0.54422,1.28685,0.8232,0.85647,0.89464,0.57779,1.35194,0.71584,1.28054,0.000984864,0.000984864,0.000984864
64,7197.74,0.71689,0.54152,1.28269,0.83025,0.8295,0.90266,0.58005,1.37033,0.72534,1.3379,0.000973861,0.000973861,0.000973861
65,7296.85,0.71446,0.53289,1.30424,0.78554,0.82374,0.87384,0.56617,1.34672,0.74258,1.27761,0.000962859,0.000962859,0.000962859
66,7394.61,0.72455,0.54584,1.30513,0.8084,0.81025,0.8599,0.56834,1.33811,0.73488,1.25109,0.000951857,0.000951857,0.000951857
67,7492.96,0.71777,0.5449,1.27924,0.76024,0.85542,0.85821,0.56719,1.36352,0.73372,1.31709,0.000940855,0.000940855,0.000940855
68,7591.26,0.69757,0.52494,1.29123,0.81065,0.84357,0.88948,0.59071,1.31911,0.68528,1.22626,0.000929853,0.000929853,0.000929853
69,7685.92,0.70945,0.52411,1.27653,0.77588,0.85476,0.87209,0.56549,1.36123,0.71029,1.2812,0.00091885,0.00091885,0.00091885
70,7781.3,0.71144,0.52492,1.27611,0.78158,0.83041,0.87137,0.57994,1.32666,0.70644,1.24477,0.000907848,0.000907848,0.000907848
71,7876.62,0.70496,0.52876,1.27769,0.81851,0.82728,0.88921,0.58345,1.32209,0.72411,1.22223,0.000896846,0.000896846,0.000896846
72,7974.61,0.69585,0.51429,1.28091,0.72782,0.87612,0.86494,0.56189,1.34105,0.74841,1.27099,0.000885844,0.000885844,0.000885844
73,8073.16,0.69986,0.5214,1.27571,0.82095,0.82258,0.87347,0.57523,1.33875,0.75176,1.26817,0.000874842,0.000874842,0.000874842
74,8171.18,0.68848,0.51255,1.26208,0.77651,0.84406,0.86271,0.57532,1.3285,0.70815,1.23998,0.000863839,0.000863839,0.000863839
75,8269.95,0.69703,0.50734,1.26758,0.84214,0.79877,0.89692,0.60188,1.32923,0.66243,1.29202,0.000852837,0.000852837,0.000852837
76,8368.68,0.67262,0.4972,1.2457,0.83657,0.79637,0.88134,0.5885,1.31824,0.68513,1.25365,0.000841835,0.000841835,0.000841835
77,8466.07,0.69025,0.49313,1.25739,0.82125,0.79229,0.86721,0.56289,1.35485,0.7847,1.26994,0.000830833,0.000830833,0.000830833
78,8563.62,0.68289,0.48766,1.24258,0.82501,0.84388,0.88534,0.57802,1.34829,0.76103,1.26861,0.000819831,0.000819831,0.000819831
79,8659.46,0.68049,0.49486,1.23848,0.76747,0.83345,0.85444,0.58063,1.31485,0.7187,1.2517,0.000808828,0.000808828,0.000808828
80,8758.34,0.68058,0.49079,1.25005,0.80994,0.85923,0.89086,0.60126,1.3076,0.671,1.18835,0.000797826,0.000797826,0.000797826
81,8854.83,0.67569,0.49102,1.24207,0.79672,0.82978,0.87092,0.57439,1.33446,0.69686,1.27052,0.000786824,0.000786824,0.000786824
82,8957.75,0.68007,0.48681,1.23674,0.79441,0.83268,0.87141,0.58012,1.31822,0.70461,1.24792,0.000775822,0.000775822,0.000775822
83,9062.3,0.66111,0.49019,1.23028,0.79764,0.83292,0.86278,0.57643,1.32225,0.73582,1.27094,0.00076482,0.00076482,0.00076482
84,9158.39,0.66571,0.485,1.22818,0.79827,0.81515,0.87203,0.57899,1.3061,0.71901,1.23264,0.000753817,0.000753817,0.000753817
85,9253.67,0.66191,0.47905,1.22845,0.80544,0.81924,0.86585,0.57876,1.33349,0.70349,1.27732,0.000742815,0.000742815,0.000742815
86,9354.63,0.65099,0.47932,1.21492,0.78532,0.80253,0.85839,0.58197,1.28996,0.75909,1.20829,0.000731813,0.000731813,0.000731813
87,9459.36,0.65261,0.47738,1.21401,0.75836,0.86487,0.86784,0.57862,1.32389,0.70871,1.24574,0.000720811,0.000720811,0.000720811
88,9562.75,0.65941,0.47175,1.21942,0.81229,0.79177,0.85452,0.57157,1.31131,0.7328,1.23753,0.000709809,0.000709809,0.000709809
89,9662.4,0.66557,0.47078,1.22493,0.82827,0.86285,0.88705,0.59512,1.31412,0.68668,1.2626,0.000698806,0.000698806,0.000698806
90,9765.36,0.64086,0.45867,1.21599,0.76936,0.79888,0.85266,0.57713,1.29959,0.74979,1.21991,0.000687804,0.000687804,0.000687804
91,9869.34,0.64929,0.46646,1.20929,0.80619,0.82853,0.88027,0.60328,1.27877,0.69967,1.18366,0.000676802,0.000676802,0.000676802
92,9969.35,0.64415,0.4674,1.21073,0.79523,0.81195,0.86905,0.59978,1.30455,0.67423,1.23259,0.0006658,0.0006658,0.0006658
93,10066.5,0.65098,0.46062,1.20411,0.76718,0.88348,0.88186,0.59621,1.30927,0.69503,1.24144,0.000654798,0.000654798,0.000654798
94,10163.8,0.64225,0.45381,1.20507,0.83276,0.82955,0.87989,0.6003,1.29863,0.70041,1.21546,0.000643795,0.000643795,0.000643795
95,10261.4,0.62677,0.44743,1.20373,0.76682,0.83532,0.86579,0.58528,1.28179,0.73161,1.18259,0.000632793,0.000632793,0.000632793
96,10357.7,0.63047,0.44724,1.19525,0.79042,0.89756,0.88683,0.59971,1.28728,0.68857,1.20817,0.000621791,0.000621791,0.000621791
97,10453.7,0.62776,0.43784,1.20138,0.81456,0.8631,0.88396,0.59872,1.31727,0.69894,1.24974,0.000610789,0.000610789,0.000610789
98,10554.3,0.635,0.43847,1.20968,0.81657,0.84368,0.88395,0.59902,1.28928,0.70965,1.20917,0.000599787,0.000599787,0.000599787
99,10651.3,0.62659,0.44346,1.1944,0.76237,0.87496,0.87422,0.58915,1.31028,0.67414,1.21586,0.000588784,0.000588784,0.000588784
100,10747,0.63575,0.44829,1.19758,0.80317,0.84235,0.88453,0.59815,1.29458,0.69984,1.2049,0.000577782,0.000577782,0.000577782
101,10847.4,0.62439,0.43472,1.19665,0.78826,0.84275,0.87042,0.58244,1.33174,0.73308,1.23694,0.00056678,0.00056678,0.00056678
102,10952.7,0.63029,0.4401,1.19942,0.82437,0.82529,0.87724,0.60031,1.2908,0.71295,1.19247,0.000555778,0.000555778,0.000555778
103,11055.6,0.61134,0.4304,1.18221,0.82149,0.82749,0.87427,0.59756,1.29356,0.69127,1.22442,0.000544776,0.000544776,0.000544776
104,11155.2,0.61011,0.42353,1.17314,0.78594,0.85123,0.87096,0.59903,1.30528,0.67185,1.23527,0.000533773,0.000533773,0.000533773
105,11253.4,0.62389,0.43431,1.18127,0.83128,0.84135,0.88556,0.60523,1.283,0.68846,1.19922,0.000522771,0.000522771,0.000522771
106,11352.3,0.6053,0.42042,1.17693,0.83042,0.8443,0.88983,0.60506,1.27918,0.69237,1.18591,0.000511769,0.000511769,0.000511769
107,11449.5,0.61272,0.4173,1.16639,0.81258,0.84482,0.88067,0.60302,1.29539,0.70775,1.23929,0.000500767,0.000500767,0.000500767
108,11546.4,0.62324,0.42852,1.17305,0.85321,0.84065,0.89315,0.60606,1.30651,0.67815,1.2573,0.000489765,0.000489765,0.000489765
109,11646.7,0.60284,0.41744,1.17385,0.81412,0.81852,0.86775,0.59858,1.29397,0.68622,1.21545,0.000478762,0.000478762,0.000478762
110,11749.3,0.5986,0.41387,1.1719,0.83177,0.81934,0.88179,0.6053,1.28314,0.69062,1.2196,0.00046776,0.00046776,0.00046776
111,11852.5,0.6063,0.421,1.17252,0.82932,0.82582,0.88312,0.60757,1.27813,0.68924,1.21806,0.000456758,0.000456758,0.000456758
112,11953.9,0.61073,0.42036,1.16472,0.82994,0.85119,0.89373,0.60966,1.28691,0.68688,1.21908,0.000445756,0.000445756,0.000445756
113,12056.5,0.60112,0.41147,1.16021,0.80019,0.85643,0.87904,0.60334,1.2885,0.67549,1.23703,0.000434754,0.000434754,0.000434754
114,12159.7,0.58879,0.40129,1.15724,0.78897,0.84268,0.86725,0.60294,1.27055,0.69827,1.20951,0.000423751,0.000423751,0.000423751
115,12259.1,0.60225,0.41075,1.16686,0.80303,0.82206,0.85901,0.59778,1.28331,0.73562,1.24403,0.000412749,0.000412749,0.000412749
116,12360.8,0.58525,0.40223,1.14586,0.80993,0.83954,0.87561,0.6033,1.30258,0.6909,1.25316,0.000401747,0.000401747,0.000401747
117,12463.8,0.58674,0.40353,1.14614,0.79743,0.81704,0.867,0.59789,1.2683,0.70652,1.19657,0.000390745,0.000390745,0.000390745
118,12568,0.59101,0.40556,1.14299,0.82307,0.80608,0.86725,0.59362,1.28813,0.71976,1.24523,0.000379743,0.000379743,0.000379743
119,12670.2,0.59488,0.40395,1.14381,0.82374,0.83683,0.8926,0.60892,1.2899,0.65816,1.23077,0.00036874,0.00036874,0.00036874
120,12773.9,0.58084,0.39332,1.14558,0.83747,0.83908,0.89,0.61026,1.28491,0.67382,1.24922,0.000357738,0.000357738,0.000357738
121,12875.4,0.58708,0.39941,1.14857,0.75779,0.87228,0.87946,0.60363,1.28262,0.68148,1.22875,0.000346736,0.000346736,0.000346736
122,12976.7,0.57509,0.38864,1.14423,0.80342,0.84639,0.86772,0.60081,1.27472,0.67053,1.22688,0.000335734,0.000335734,0.000335734
123,13080.6,0.59005,0.40327,1.14877,0.80857,0.86104,0.8825,0.60949,1.28648,0.66532,1.22552,0.000324732,0.000324732,0.000324732
124,13184.8,0.57618,0.38602,1.14105,0.83575,0.86079,0.88447,0.60828,1.297,0.68443,1.22974,0.000313729,0.000313729,0.000313729
125,13287.9,0.57917,0.38565,1.13956,0.83234,0.83432,0.88342,0.61526,1.28532,0.68847,1.21784,0.000302727,0.000302727,0.000302727
126,13384.1,0.56336,0.37901,1.12798,0.80863,0.82961,0.86766,0.59812,1.29532,0.69447,1.24713,0.000291725,0.000291725,0.000291725
127,13485.4,0.56784,0.38728,1.12694,0.80823,0.84918,0.86439,0.59463,1.28134,0.70607,1.20896,0.000280723,0.000280723,0.000280723
128,13587.1,0.56747,0.39022,1.12962,0.78674,0.84118,0.86952,0.60535,1.28327,0.67628,1.20174,0.000269721,0.000269721,0.000269721
129,13689.3,0.56065,0.37769,1.12647,0.80325,0.82431,0.8633,0.59709,1.28591,0.699,1.21868,0.000258718,0.000258718,0.000258718
130,13790.6,0.56167,0.3764,1.12537,0.78746,0.84148,0.86009,0.59711,1.27167,0.69657,1.20098,0.000247716,0.000247716,0.000247716
131,13894.9,0.56414,0.38261,1.13847,0.80331,0.83647,0.86771,0.60307,1.2708,0.69859,1.19891,0.000236714,0.000236714,0.000236714
132,13998.5,0.55317,0.36458,1.11992,0.81516,0.84639,0.87754,0.61054,1.28111,0.68068,1.21537,0.000225712,0.000225712,0.000225712
133,14101.6,0.56054,0.37331,1.11927,0.80988,0.83386,0.87425,0.61191,1.27715,0.69047,1.22409,0.00021471,0.00021471,0.00021471
134,14205.5,0.54924,0.36919,1.11755,0.81154,0.82435,0.8661,0.60204,1.25956,0.69964,1.18686,0.000203707,0.000203707,0.000203707
135,14302.1,0.54618,0.36361,1.11621,0.81189,0.84118,0.87779,0.60736,1.28145,0.69542,1.21948,0.000192705,0.000192705,0.000192705
136,14399.7,0.56253,0.37387,1.12851,0.82003,0.84206,0.87398,0.60487,1.28015,0.68518,1.20981,0.000181703,0.000181703,0.000181703
137,14497.2,0.56397,0.37712,1.1142,0.83214,0.82029,0.87724,0.60341,1.291,0.69354,1.24371,0.000170701,0.000170701,0.000170701
138,14594.7,0.54288,0.35566,1.0997,0.77795,0.86393,0.87707,0.60377,1.27591,0.68666,1.23065,0.000159699,0.000159699,0.000159699
139,14690.9,0.54185,0.357,1.10127,0.81432,0.84363,0.87994,0.60434,1.27427,0.69747,1.21677,0.000148696,0.000148696,0.000148696
140,14788.9,0.56038,0.37237,1.10104,0.81014,0.83532,0.87713,0.60574,1.27487,0.69555,1.21972,0.000137694,0.000137694,0.000137694
141,14882,0.89376,0.36866,0.82636,0.79445,0.85096,0.86947,0.59092,1.28523,0.68582,1.2568,0.000126692,0.000126692,0.000126692
142,14973.2,0.84321,0.33648,0.7987,0.80332,0.85203,0.87204,0.59245,1.28663,0.68132,1.25522,0.00011569,0.00011569,0.00011569
143,15062.2,0.85883,0.34128,0.79431,0.80408,0.85996,0.8707,0.60062,1.28193,0.67319,1.2432,0.000104688,0.000104688,0.000104688
144,15151.4,0.85784,0.33455,0.79196,0.81096,0.8514,0.87175,0.60534,1.26376,0.6689,1.21768,9.36854e-05,9.36854e-05,9.36854e-05
145,15242.6,0.8416,0.32813,0.77575,0.79199,0.86132,0.87404,0.6063,1.26437,0.67809,1.22685,8.26832e-05,8.26832e-05,8.26832e-05
146,15331.3,0.82417,0.32424,0.79511,0.79939,0.85937,0.87965,0.6094,1.26436,0.66774,1.23223,7.1681e-05,7.1681e-05,7.1681e-05
147,15425.9,0.83675,0.32895,0.77052,0.78736,0.85916,0.87464,0.60822,1.25772,0.66578,1.21408,6.06788e-05,6.06788e-05,6.06788e-05
148,15517.6,0.8312,0.32735,0.77352,0.79314,0.85353,0.87818,0.61144,1.25973,0.67321,1.21885,4.96766e-05,4.96766e-05,4.96766e-05
149,15609,0.86335,0.33233,0.76561,0.80124,0.85276,0.87621,0.60953,1.26061,0.6763,1.2225,3.86744e-05,3.86744e-05,3.86744e-05
150,15699.4,0.83264,0.32155,0.76335,0.80231,0.85119,0.87512,0.60751,1.26011,0.67555,1.22028,2.76722e-05,2.76722e-05,2.76722e-05
