epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3992.59,0.77771,0.62527,1.36801,0.7645,0.79217,0.8456,0.52348,1.39962,0.80032,1.29631,0.000990474,0.000990474,0.000990474
43,4086.79,0.79188,0.63783,1.37285,0.83856,0.87218,0.89306,0.54983,1.39933,0.78347,1.34278,0.000973973,0.000973973,0.000973973
44,4181.46,0.77178,0.60041,1.35343,0.85162,0.83668,0.89841,0.56203,1.36302,0.77096,1.28855,0.000957473,0.000957473,0.000957473
45,4274.69,0.7847,0.61751,1.36287,0.83097,0.87877,0.89194,0.56087,1.35952,0.72203,1.2634,0.000940972,0.000940972,0.000940972
46,4369.57,0.78276,0.60648,1.35651,0.88229,0.87783,0.9138,0.5618,1.3986,0.7112,1.31458,0.000924472,0.000924472,0.000924472
47,4464.99,0.77101,0.60841,1.34337,0.84538,0.85003,0.90393,0.56926,1.35026,0.74057,1.25758,0.000907971,0.000907971,0.000907971
48,4559.32,0.7539,0.59342,1.33149,0.89279,0.86546,0.91231,0.57322,1.36405,0.70956,1.24482,0.00089147,0.00089147,0.00089147
49,4654.59,0.77471,0.60191,1.34627,0.83046,0.83069,0.88042,0.55553,1.38058,0.76261,1.28018,0.00087497,0.00087497,0.00087497
50,4749.21,0.75122,0.57977,1.33436,0.82284,0.84764,0.88624,0.56381,1.34614,0.76554,1.26573,0.000858469,0.000858469,0.000858469
51,4843.95,0.75721,0.589,1.33548,0.9103,0.81977,0.90917,0.57097,1.36763,0.75594,1.26162,0.000841968,0.000841968,0.000841968
52,4938.14,0.74885,0.56728,1.32642,0.87367,0.83417,0.912,0.57871,1.35084,0.73471,1.26018,0.000825468,0.000825468,0.000825468
53,5033.52,0.73563,0.5707,1.31689,0.83871,0.86295,0.90273,0.56679,1.35063,0.7263,1.25971,0.000808967,0.000808967,0.000808967
54,5128.33,0.73275,0.5603,1.30967,0.85507,0.85401,0.91603,0.59178,1.33067,0.74278,1.21982,0.000792466,0.000792466,0.000792466
55,5222.77,0.72588,0.54814,1.30596,0.84866,0.88398,0.89904,0.57345,1.33476,0.69562,1.26128,0.000775966,0.000775966,0.000775966
56,5318.76,0.71877,0.54684,1.30024,0.83812,0.7963,0.88395,0.57913,1.34059,0.73785,1.24112,0.000759465,0.000759465,0.000759465
57,5415.03,0.72331,0.53858,1.28458,0.86069,0.8407,0.89266,0.57881,1.34688,0.74316,1.25556,0.000742965,0.000742965,0.000742965
58,5510.83,0.71711,0.53603,1.29588,0.889,0.86985,0.93075,0.60323,1.31509,0.67229,1.20466,0.000726464,0.000726464,0.000726464
59,5606.4,0.72267,0.53664,1.3016,0.83028,0.81633,0.87837,0.57362,1.32127,0.82026,1.20649,0.000709963,0.000709963,0.000709963
60,5701.77,0.71402,0.53448,1.27746,0.83535,0.84825,0.90252,0.59623,1.31684,0.70722,1.20269,0.000693463,0.000693463,0.000693463
61,5796.02,0.70291,0.53159,1.27492,0.87671,0.86825,0.91563,0.59207,1.34327,0.70743,1.24158,0.000676962,0.000676962,0.000676962
62,5890.23,0.70325,0.52733,1.28607,0.87239,0.85998,0.91086,0.59274,1.32467,0.70083,1.20742,0.000660461,0.000660461,0.000660461
63,5984.47,0.69725,0.5088,1.25681,0.85345,0.8759,0.9189,0.60159,1.31595,0.69566,1.19781,0.000643961,0.000643961,0.000643961
64,6079.23,0.69699,0.51255,1.2595,0.88504,0.85035,0.9126,0.59552,1.32871,0.71435,1.21936,0.00062746,0.00062746,0.00062746
65,6173.85,0.68106,0.50146,1.26797,0.8524,0.87812,0.90251,0.59402,1.29749,0.71363,1.17415,0.00061096,0.00061096,0.00061096
66,6268.59,0.69164,0.5065,1.26742,0.86979,0.85591,0.90646,0.60055,1.30751,0.7077,1.18902,0.000594459,0.000594459,0.000594459
67,6364.15,0.68636,0.49947,1.24578,0.88643,0.87035,0.91025,0.58633,1.35133,0.69844,1.318,0.000577958,0.000577958,0.000577958
68,6459.77,0.67595,0.49386,1.26316,0.83442,0.87713,0.90791,0.59905,1.30239,0.67494,1.2057,0.000561458,0.000561458,0.000561458
69,6555.18,0.6737,0.48718,1.24227,0.85381,0.87749,0.90933,0.60388,1.31845,0.69452,1.22981,0.000544957,0.000544957,0.000544957
70,6649.35,0.67657,0.48143,1.23617,0.87373,0.87719,0.90358,0.59375,1.3068,0.70395,1.19562,0.000528456,0.000528456,0.000528456
71,6744.42,0.66197,0.48325,1.23013,0.85475,0.88054,0.90798,0.59483,1.31473,0.69873,1.21461,0.000511956,0.000511956,0.000511956
72,6839.13,0.65127,0.46746,1.23103,0.87143,0.85336,0.90134,0.59835,1.30177,0.70846,1.18323,0.000495455,0.000495455,0.000495455
73,6933.61,0.65407,0.47536,1.22591,0.89299,0.84835,0.90054,0.59734,1.31021,0.71595,1.20269,0.000478954,0.000478954,0.000478954
74,7028.24,0.652,0.47092,1.21919,0.89057,0.85118,0.9121,0.60447,1.31859,0.68733,1.21171,0.000462454,0.000462454,0.000462454
75,7123.2,0.65045,0.46174,1.21819,0.88441,0.86172,0.91487,0.61125,1.31413,0.68896,1.22607,0.000445953,0.000445953,0.000445953
76,7218.38,0.64321,0.45556,1.21159,0.90869,0.85931,0.91191,0.60298,1.30709,0.68311,1.19492,0.000429453,0.000429453,0.000429453
77,7313.24,0.64906,0.45059,1.20959,0.88197,0.84615,0.91025,0.60881,1.30166,0.67754,1.1732,0.000412952,0.000412952,0.000412952
78,7408.04,0.63818,0.44338,1.19094,0.87442,0.84656,0.90131,0.60439,1.28986,0.69184,1.1822,0.000396451,0.000396451,0.000396451
79,7503.18,0.63063,0.44469,1.17609,0.86547,0.84701,0.89274,0.5973,1.31168,0.71854,1.2099,0.000379951,0.000379951,0.000379951
80,7598.46,0.63662,0.45017,1.19828,0.89184,0.86213,0.91152,0.61044,1.2963,0.66457,1.17317,0.00036345,0.00036345,0.00036345
81,7692.35,0.62728,0.44332,1.18658,0.86895,0.87897,0.91182,0.61018,1.29393,0.67338,1.19015,0.000346949,0.000346949,0.000346949
82,7787.08,0.63293,0.44913,1.18646,0.90473,0.87082,0.91651,0.6143,1.31503,0.67443,1.22341,0.000330449,0.000330449,0.000330449
83,7882.57,0.60983,0.43463,1.17934,0.87094,0.87563,0.90775,0.60911,1.295,0.68001,1.18885,0.000313948,0.000313948,0.000313948
84,7977.55,0.62412,0.43613,1.18138,0.89636,0.87867,0.91439,0.61587,1.28896,0.6809,1.198,0.000297447,0.000297447,0.000297447
85,8072.37,0.61514,0.42731,1.17762,0.89217,0.86361,0.91136,0.61828,1.30172,0.69872,1.19112,0.000280947,0.000280947,0.000280947
86,8166.82,0.60024,0.42177,1.15894,0.87905,0.85334,0.90441,0.60683,1.29969,0.70499,1.19535,0.000264446,0.000264446,0.000264446
87,8261.47,0.60299,0.42503,1.16603,0.90477,0.85653,0.90485,0.60647,1.30467,0.71129,1.22301,0.000247946,0.000247946,0.000247946
88,8357.74,0.61102,0.42347,1.16938,0.88996,0.85584,0.91277,0.6205,1.2725,0.67562,1.17281,0.000231445,0.000231445,0.000231445
89,8452.64,0.61463,0.42357,1.17247,0.87789,0.87322,0.91567,0.62016,1.2914,0.66071,1.20755,0.000214944,0.000214944,0.000214944
90,8547.04,0.59146,0.41528,1.16441,0.87192,0.88265,0.90382,0.61149,1.30238,0.68951,1.20521,0.000198444,0.000198444,0.000198444
91,8637.71,0.92777,0.40203,0.87888,0.86065,0.89609,0.91238,0.61798,1.27338,0.67888,1.18668,0.000181943,0.000181943,0.000181943
92,8724.83,0.92424,0.3793,0.84699,0.9046,0.87189,0.91509,0.62308,1.2719,0.66364,1.1847,0.000165442,0.000165442,0.000165442
93,8811.98,0.91202,0.36984,0.82842,0.86367,0.90661,0.91517,0.62284,1.27182,0.65612,1.17521,0.000148942,0.000148942,0.000148942
94,8900.24,0.91526,0.37157,0.83166,0.8947,0.88505,0.91601,0.6298,1.27439,0.67157,1.19614,0.000132441,0.000132441,0.000132441
95,8988.92,0.88575,0.35456,0.82698,0.89509,0.8974,0.92232,0.62831,1.28072,0.66398,1.19235,0.000115941,0.000115941,0.000115941
96,9077.61,0.90356,0.35929,0.81035,0.8881,0.89553,0.91863,0.62952,1.27319,0.65379,1.20006,9.94399e-05,9.94399e-05,9.94399e-05
97,9165.77,0.88409,0.35047,0.81168,0.89464,0.88788,0.91978,0.6401,1.26516,0.64595,1.17618,8.29393e-05,8.29393e-05,8.29393e-05
98,9254.56,0.88498,0.34716,0.80168,0.9012,0.87467,0.92145,0.63786,1.2685,0.65695,1.1834,6.64386e-05,6.64386e-05,6.64386e-05
99,9342,0.89103,0.34643,0.80172,0.89716,0.89453,0.92104,0.63821,1.26714,0.65412,1.17826,4.9938e-05,4.9938e-05,4.9938e-05
100,9430.09,0.87016,0.34327,0.80202,0.8918,0.88264,0.92129,0.63758,1.26186,0.6448,1.17485,3.34374e-05,3.34374e-05,3.34374e-05
