epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4114.29,0.90983,0.70104,1.5125,0.86649,0.8114,0.86802,0.47879,1.5737,0.83739,1.8396,0.0014588,0.0014588,0.0014588
43,4213.5,0.88508,0.70293,1.48541,0.73808,0.86517,0.85993,0.49894,1.4703,0.86109,1.76844,0.0014456,0.0014456,0.0014456
44,4305.54,0.8811,0.68405,1.50374,0.75593,0.84221,0.83421,0.48086,1.43736,0.90027,1.64592,0.0014324,0.0014324,0.0014324
45,4406.45,0.88263,0.68355,1.48601,0.77448,0.81336,0.8192,0.48824,1.43132,0.89078,1.60382,0.0014192,0.0014192,0.0014192
46,4503.95,0.8771,0.69286,1.48059,0.88227,0.78881,0.87372,0.49029,1.42166,0.82461,1.6351,0.001406,0.001406,0.001406
47,4603.32,0.85489,0.66038,1.46843,0.83346,0.79825,0.83928,0.50153,1.47424,0.84218,1.79245,0.0013928,0.0013928,0.0013928
48,4701.15,0.8658,0.68381,1.47783,0.88674,0.82416,0.8793,0.5277,1.40788,0.83063,1.56729,0.0013796,0.0013796,0.0013796
49,4800.99,0.86226,0.65489,1.45071,0.82613,0.82456,0.88678,0.51116,1.39696,0.79877,1.65838,0.0013664,0.0013664,0.0013664
50,4906.22,0.85083,0.64011,1.45534,0.73778,0.85526,0.87074,0.5124,1.42897,0.85234,1.65847,0.0013532,0.0013532,0.0013532
51,5000.18,0.85216,0.64296,1.46589,0.8226,0.84649,0.877,0.54145,1.39948,0.81541,1.55053,0.00134,0.00134,0.00134
52,5098.69,0.84166,0.6442,1.44024,0.85113,0.8114,0.86742,0.53101,1.39705,0.78437,1.6089,0.0013268,0.0013268,0.0013268
53,5201.35,0.83957,0.63759,1.44085,0.83722,0.78947,0.8586,0.51055,1.44835,0.79995,1.6377,0.0013136,0.0013136,0.0013136
54,5296.86,0.83854,0.63722,1.43306,0.85874,0.85321,0.87877,0.54174,1.37157,0.80365,1.61868,0.0013004,0.0013004,0.0013004
55,5393.26,0.84626,0.63392,1.43909,0.86578,0.83333,0.88254,0.54079,1.36742,0.80402,1.57263,0.0012872,0.0012872,0.0012872
